,PROCUREMENT,,,,,,,,,,,,,,
Sl No.,IOM Version,Project,Package,Scope of work,Awarded Vendor name,Budget incl Escalation,Total Finalized Proposed Award Value (Excl Tax),Expected (-) Savings / (+) Escalations w.r.t Budget incl. escalation,Basis of award,TES/ Non-TES,Requisition Date,Finalization Date,TAT,Time Period,Delay
38,IOMP20260826114532,Godrej Joka,Civil - RMC,"Supply of RMC (M35, M35 SCC & M20 garde) for Aug' 26 & Sep'26",Nirman Concrete Private Limited,0.252,0.5499,-3.33333 %,L1,,,,,,
39,IOMP20260415061139,B L saha,Miscellaneous / other works,"Supply of Lift Shaft Platform at Godrej Blue Project, Kolkata",RAROVAH ENGINEERING PRIVATE LIMITED,0.264,0.2508,-5.00000 %,,,,,,,
40,IOMP20260415062933,B L saha,Civil - RMC,"Supply of concrete along with installation and commissioning of a CP 30 batching plant, including all components, at Godrej Blue Site premises for 35611 CuM of concrete with a total tenure of 7 months.",Firstchoice Ready Mix,29.1854,27.5003,-5.77378 %,,,,,,,
41,IOMP20260418014929,B L saha,Civil - RMC,Supply of RMC (Grade M35 Pile) for April' 26,CONCRETEO TRMC LLP,0.2808,0.5288,-5.84046 %,,,,,,,
42,IOMP20260418014929,B L saha,Civil - RMC,Supply of RMC (Grade M35 Pile) for April' 26,Nirman Concrete Private Limited,0.2808,0.5288,-5.84046 %,,,,,,,
43,IOMP20260519102816,B L saha,Civil - Aluminium Formwork,Procurement of Aluminium Formwork for Tower T1 – Godrej Blue (B L Saha) Project,EINS TECHNIK PRIVATE LIMITED (EINS TECHNIK FORMWORK SYSTEM - EFS),2.79,2.79,0.00000 %,,,,,,,
44,IOMP20260527112827,B L saha,Civil - Steel Rebar,Supply of Reinforcement Steel (June'26),SRMB Srijan Pvt Ltd,1.4652,1.3517,-7.74638 %,,,,,,,
45,IOMP20260622063809,B L saha,Miscellaneous / other works,"Supplying of Additional MS Bracket at Godrej Blue Project, 82 B L Saha Road, Kolkata",SUDHIR KUMAR DHIRAJ KUMAR,0.0901,0.1793,-5.66038 %,,,,,,,
46,IOMP20260622063809,B L saha,Miscellaneous / other works,"Supplying of Additional MS Bracket at Godrej Blue Project, 82 B L Saha Road, Kolkata",ROY ENGINEERING,0.0999,0.1793,-5.60561 %,,,,,,,
47,IOMP20260708124512,B L saha,Civil - RMC,Supply of RMC (M35 Pile) for July'26,CONCRETEO TRMC LLP,0.075,0.0678,-9.60000 %,,,,,,,
48,IOMP20260709012404,B L saha,Civil - Steel Rebar,Supply of Reinforcement Steel (July' 26),SRMB Srijan Pvt Ltd,5.1827,4.5027,-13.12057 %,,,,,,,
49,IOMP20260805170244,B L saha,Finishing - Tiles, Supply of tile for Godrej Blue - BL Saha project as per the selection by Architect in line with Quality specs.,ASIAN GRANITO INDIA LTD,0.52,0.71,-9.61538 %,,,,,,,
50,IOMP20260805170244,B L saha,Finishing - Tiles, Supply of tile for Godrej Blue - BL Saha project as per the selection by Architect in line with Quality specs.,Prism Johnson LTD,0.19,0.71,5.26316 %,,,,,,,
51,IOMP20260805170244,B L saha,Finishing - Tiles, Supply of tile for Godrej Blue - BL Saha project as per the selection by Architect in line with Quality specs.,KAJARIA CERAMICS LTD,0.03,0.71,33.33333 %,,,,,,,
52,IOMP20260507054926,Godrej Prakriti,Miscellaneous / other works,Supply of Ready-Mix Plaster (On Debitable basis from M/s Dutta Associates),ACC Limited,0.0763,0.0763,0.00000 %,L1,,,,,,
53,IOMP20260604122703,Godrej Prakriti,Finishing - Tiles,Supply of Tiles (Lift facia & Lobby area),GOKUL STONES& TILES (P) LTD,0.0312,0.0305,-2.24359 %,L1,,,,,,
54,IOMP20260716110856,Godrej Prakriti,Finishing - Stones/Marbles,Supply of Kadappa Stone (Size - 3 ft X 2ft & Thickness - 15 MM to 25 MM),RAIJADA MARBLES AND TILES,0.0126,0.0126,0.00000 %,L1,,,,,,
55,IOMP20260721202833,Godrej Prakriti,Civil - Cement,Supply of 25 MT of PPC Cement,ULTRATECH CEMENT LIMITED,0.0114,0.0114,0.00000 %,L1,,,,,,
56,IOMP20260820212754,Godrej Prakriti,Civil - Cement,Supply of Cement (PPC) of 500 Bags,ULTRATECH CEMENT LIMITED,0.0123,0.011,-10.56911 %,L1,,,,,,
57,IOMP20260825160839,Godrej Prakriti,MEP - Plumbing and Fire fighting equipments and fittings,Supplying of Fire Extinguishers at Godrej Prakriti Project,Nitin Fire Protection Industries Limited,0.0549,0.0309,-43.71585 %,L1,,,,,,
58,IOMP20260330114617,Raipur Plotted 1,Civil - RMC,Supply of RMC (M30 PQC Grade) for April' 26,M/s Shree Cement,0.034,0.034,0.00000 %,L1,,,,,,
59,IOMP20260411021131,Raipur Plotted 1,MEP - Plumbing and Fire fighting equipments and fittings,Appointment of vendor for Procurement of DWC Pipe (Godrej Raipur Plotted-1 Project),AMRITA ENTERPRISE,0.7217,0.7217,0.00000 %,L1,,,,,,
60,IOMP20260511020014,Raipur Plotted 1,MEP - Plumbing and Fire fighting equipments and fittings,"Appointment of vendor for Procurement of DWC & HDPE Pipe for Parcel 1,2 &3 at Godrej Raipur Plotted-1, Chhattis",AMRITA ENTERPRIS,0.717,0.717,0.00000 %,L1,,,,,,
61,IOMP20260526020724,Raipur Plotted 1,Civil - Steel Rebar,Basic Rate finalization for Procurement of Reinforcement Steel (June'26) for M/s Vinod Kumar Jain & M/s Aquaplast Infraprojects,Shree Nakoda Ispat Ltd,0.451,0.3855,-14.52328 %,L1,,,,,,
62,IOMP20260827120211,Raipur Plotted 1,MEP - Plumbing and Fire fighting equipments and fittings,Procurement of HDPE Manhole Chamber & allied fittings for Godrej Greenvale_ Raipur Plotted-1.,AMRITA ENTERPRISE,0.535,0.5198,-2.84112 %,L1,,,,,,
63,IOMP20260515102526,Godrej Ushti 1,Civil - Steel Rebar,Supply of Reinforcement Steel (May' 26),Shakambhari Ispat & Power Ltd,0.198,0.1859,-6.11111 %,L1,,,,,,
64,IOMP20260515110913,Godrej Ushti 1,MEP - Plumbing and Fire fighting equipments and fittings,Procurement of DWC Pipe (Cable Duct),SOOR NEOGI COOMAR & CO. PVT. LTD.,0.0245,0.0217,-11.42857 %,L1,,,,,,
